,날짜,일일확진자수
289,2019-11-21,0
290,2019-11-20,0
291,2019-11-19,0
292,2019-11-18,0
293,2019-11-17,0
294,2019-11-16,0
295,2019-11-15,0
296,2019-11-14,0
297,2019-11-13,0
298,2019-11-12,0
299,2019-11-11,0
300,2019-11-10,0
301,2019-11-09,0
302,2019-11-08,0
303,2019-11-07,0
304,2019-11-06,0
305,2019-11-05,0
306,2019-11-04,0
307,2019-11-03,0
308,2019-11-02,0
309,2019-11-01,0
310,2019-10-31,0
311,2019-10-30,0
312,2019-10-29,0
313,2019-10-28,0
314,2019-10-27,0
315,2019-10-26,0
316,2019-10-25,0
317,2019-10-24,0
318,2019-10-23,0
319,2019-10-22,0
320,2019-10-21,0
321,2019-10-20,0
322,2019-10-19,0
323,2019-10-18,0
324,2019-10-17,0
325,2019-10-16,0
326,2019-10-15,0
327,2019-10-14,0
328,2019-10-13,0
329,2019-10-12,0
330,2019-10-11,0
331,2019-10-10,0
332,2019-10-09,0
333,2019-10-08,0
334,2019-10-07,0
335,2019-10-06,0
336,2019-10-05,0
337,2019-10-04,0
338,2019-10-03,0
339,2019-10-02,0
340,2019-10-01,0
